"","school_id","district","zone","treatment","school_size","distance","student_teacher_ratio"
"1",1,6,2,1,2466.34701628534,12.1595950259182,33.5878442262773
"2",2,3,98,1,3746.69847690672,3.38912396453946,26.905173318462
"3",3,5,43,1,3006.1556309132,12.0346630733753,29.6753750863018
"4",4,5,43,1,3238.30580950329,7.65497835719477,33.7829115174308
"5",5,5,33,1,3742.39401973489,14.3779938738182,24.9288524258905
"6",6,6,27,1,2609.36129418517,9.0798901827589,26.5396458977396
"7",7,4,86,1,3498.90971478841,12.1582795898633,26.0142357430165
"8",8,1,53,1,3570.30195122619,10.3626458479888,28.2026421271232
"9",9,6,66,1,3951.91253686697,3.90094716109863,21.4911750247218
"10",10,6,116,1,3932.13776908416,9.64612231214209,30.8655437564473
"11",11,2,4,1,3689.06794326981,9.14355192963624,35.8242755634047
"12",12,4,86,1,2230.03939437588,9.76435238886164,30.5317770345075
"13",13,5,51,1,3353.67316646522,10.530865595752,31.8978848889894
"14",14,2,72,1,2820.98034049106,8.7349300222312,27.6843749804588
"15",15,4,61,1,3032.26876027227,8.60473571932644,25.5772277241038
"16",16,1,26,1,3720.78495779074,0.928025047355627,29.4872299659569
"17",17,5,125,1,3471.93127167555,8.26637127954845,25.8839286484361
"18",18,6,57,1,1929.35129955376,12.4850666063624,24.5539401716497
"19",19,4,61,1,3218.39831875342,12.6673350727498,29.3874433105642
"20",20,5,92,1,2848.0891372716,12.6647752702304,26.6460050724115
"21",21,2,60,1,2833.21686776631,11.2884890273664,25.1396774908046
"22",22,6,110,1,2661.67869525154,9.00576658173318,24.9563462623456
"23",23,5,97,1,3088.77585677618,6.47932839385877,36.2245551067633
"24",24,6,111,1,3395.82958552624,7.51356384318322,33.4053542911981
"25",25,4,29,1,3241.75118658663,7.50395235490893,29.3534742814633
"26",26,1,54,1,3204.58147522459,11.3830356966264,24.6987590359155
"27",27,2,13,1,2658.9844873293,8.85733108200327,30.1809461013615
"28",28,6,57,1,3058.7780991819,11.3555975153732,31.4794475839734
"29",29,2,103,1,2734.25585835971,2.29699709123951,22.0393039199461
"30",30,2,95,1,1915.35624261515,6.75859956774964,26.1699336632739
"31",31,6,80,1,3147.05445252751,7.33506279189613,26.8957051218883
"32",32,5,74,1,4003.80473108215,12.2574697738736,31.3783561158947
"33",33,5,49,1,2170.02350921216,4.4559484736634,25.6324020251406
"34",34,3,113,1,3689.76278926041,9.62253407326561,26.5067810401216
"35",35,2,120,1,3603.88060110271,7.68127586600176,16.5325916352984
"36",36,6,126,1,3235.54230517209,13.7825691263896,29.2205454949545
"37",37,6,30,1,2468.28404995699,10.5521924407712,25.7330072559883
"38",38,2,95,1,2176.94743389894,12.440406703859,26.6391297603407
"39",39,3,32,1,3912.77806590144,6.64014998106343,30.9743711869872
"40",40,6,66,1,3342.93026443775,12.7420599065243,33.0516931188669
"41",41,3,77,1,3143.98853602796,10.38734248156,30.9792364296811
"42",42,3,113,1,3176.06622497441,11.8030549015632,26.1882964030144
"43",43,4,102,1,2085.37167086192,7.96834927300815,33.1630531334077
"44",44,1,117,1,3685.88818357576,13.712306229318,38.2836202666794
"45",45,5,125,1,3962.28665375809,5.61526340003834,33.2916360362093
"46",46,6,105,1,3019.04527748605,7.78574201907388,25.322690103399
"47",47,2,95,1,2263.44963510386,5.68748031666991,33.5711609054141
"48",48,1,56,1,2812.51867836632,6.86502041542808,36.6034487915009
"49",49,1,87,1,2709.05584188581,11.4417004450962,25.7874798438791
"50",50,1,56,1,3463.18936457649,8.14905033187884,29.7360362999296
"51",51,6,112,1,3240.26676595735,9.80228549297584,23.4947373959741
"52",52,5,33,1,2488.88925409301,16.3111258596744,25.0837690473867
"53",53,1,78,1,2919.66309202827,10.9493737123391,24.3151417949972
"54",54,6,85,1,3918.12085524886,9.45265445660509,33.9295848148231
"55",55,2,72,1,3153.94456910646,11.8934918921897,32.2351086026464
"56",56,4,19,1,3525.29390097248,9.27838765757469,35.2101580580281
"57",57,2,25,1,3627.16997454195,7.13724641640724,34.8990805727171
"58",58,5,75,1,4118.76936965276,12.5188808209322,18.4203824091023
"59",59,2,39,1,1469.15555502953,9.39495307788997,26.9311358430967
"60",60,2,25,1,1487.2559809055,10.8792558351307,37.5181526621948
"61",61,5,43,1,3467.7126523895,9.90190401842771,36.8079900351809
"62",62,4,102,1,2798.80487035407,9.50858370312069,28.7369547375745
"63",63,3,44,1,3557.83599170008,10.0169878284385,33.6548175811774
"64",64,6,89,1,3187.74656598635,4.69111439630311,28.662050715113
"65",65,5,42,1,2999.87742182604,10.5116588253539,21.7261477219493
"66",66,6,110,1,2849.61137591799,5.73217224979528,32.5766541378488
"67",67,3,55,1,3912.16510581112,8.8946894760738,23.8240368882486
"68",68,4,106,1,1744.04608855769,8.9930450314735,31.8207303906652
"69",69,1,31,1,2993.73506308345,8.03880872417248,41.7140147659186
"70",70,6,64,1,4446.80764684749,4.5217103008505,27.5958470194975
"71",71,4,62,1,2761.91658029412,14.4657135896563,27.3959810672976
"72",72,6,64,1,3799.76558268895,8.50965748171954,20.3558113941341
"73",73,2,35,1,3213.632932437,3.48941714495746,33.254413186357
"74",74,1,87,1,3153.75667164311,5.92937568210946,28.9367843190307
"75",75,6,121,1,2936.49406601727,11.6752177285839,22.5273942502674
"76",76,5,119,1,2604.55072306863,11.1378276951051,28.1193992335315
"77",77,3,123,1,2957.84369452951,7.27496467069357,38.9810094428076
"78",78,4,41,1,2636.08001822881,10.3496168305661,32.891421207407
"79",79,4,19,1,3172.84235489235,12.0371143740943,25.8560052828585
"80",80,1,87,1,2114.55781059896,10.2438425453423,34.9216330887921
"81",81,4,29,1,2798.13717459123,6.98309800996125,27.1015726528547
