"school_id","Stratum","Prob","district","zone","treatment","standard3","distanceM","remoteness","student_teacher_ratio"
1,1,0.422502870264064,6,2,1,142,12.1595950259182,1,33.5878442262773
4,1,0.360505166475316,5,43,1,174,7.65497835719477,0,33.7829115174308
7,2,0.485427135678392,4,9,1,185,12.1582795898633,1,26.0142357430165
9,2,0.385929648241206,6,45,1,204,3.90094716109863,0,21.4911750247218
11,2,0.521608040201005,2,39,1,193,9.14355192963624,0,35.8242755634047
12,3,0.473972602739726,4,41,1,132,9.76435238886164,1,30.5317770345075
15,3,0.367123287671233,4,61,1,166,8.60473571932644,0,25.5772277241038
17,3,0.523287671232877,5,49,1,184,8.26637127954845,0,25.8839286484361
19,3,0.43013698630137,4,50,1,174,12.6673350727498,1,29.3874433105642
23,4,0.393343419062027,5,8,1,168,6.47932839385877,0,36.2245551067633
25,4,0.305597579425113,4,50,1,175,7.50395235490893,0,29.3534742814633
27,5,0.530718954248366,2,13,1,150,8.85733108200327,0,30.1809461013615
29,5,0.530718954248366,2,35,1,153,2.29699709123951,0,22.0393039199461
30,6,0.520055325034578,2,52,1,119,6.75859956774964,0,26.1699336632739
32,6,0.475795297372061,5,22,1,206,12.2574697738736,1,31.3783561158947
35,7,0.424489795918367,2,5,1,190,7.68127586600176,0,16.5325916352984
37,7,0.451700680272109,6,57,1,142,10.5521924407712,1,25.7330072559883
40,8,0.455309396485867,6,27,1,179,12.7420599065243,1,33.0516931188669
42,8,0.52559205500382,3,14,1,172,11.8030549015632,1,26.1882964030144
44,8,0.476699770817418,1,12,1,193,13.712306229318,1,38.2836202666794
46,8,0.568372803666921,6,27,1,165,7.78574201907388,0,25.322690103399
48,9,0.476190476190476,1,37,1,157,6.86502041542808,0,36.6034487915009
50,9,0.40418118466899,1,26,1,184,8.14905033187884,0,29.7360362999296
52,10,0.510553337136338,5,22,1,143,16.3111258596744,1,25.0837690473867
54,10,0.407872219053052,6,57,1,203,9.45265445660509,1,33.9295848148231
56,10,0.467769537934969,4,62,1,186,9.27838765757469,1,35.2101580580281
58,10,0.524814603536794,5,22,1,211,12.5188808209322,1,18.4203824091023
60,10,0.450656018254421,2,4,1,101,10.8792558351307,1,37.5181526621948
64,11,0.465575620767494,6,45,1,172,4.69111439630311,0,28.662050715113
65,11,0.634875846501129,5,22,1,164,10.5116588253539,1,21.7261477219493
67,11,0.485327313769752,3,14,1,203,8.8946894760738,0,23.8240368882486
69,11,0.423250564334086,1,31,1,164,8.03880872417248,0,41.7140147659186
71,11,0.482505643340858,4,19,1,155,14.4657135896563,1,27.3959810672976
73,12,0.287942411517696,2,4,1,173,3.48941714495746,0,33.254413186357
75,12,0.487102579484103,6,27,1,162,11.6752177285839,1,22.5273942502674
78,12,0.41751649670066,4,9,1,149,10.3496168305661,1,32.891421207407
80,12,0.340731853629274,1,38,1,128,10.2438425453423,1,34.9216330887921
