"school_id","district","zone","treatment","standard3","distanceM","remoteness","student_teacher_ratio"
128,1,12,0,197,4.35663846338043,0,36.1369071070905
129,1,12,0,150,6.99892298359513,0,31.7204034525227
96,1,15,0,199,7.136888893902,0,34.3601134287213
122,1,37,0,120,3.78624189871409,0,30.7643028065906
145,1,56,0,140,9.37945861303133,1,45.5137370775146
83,2,39,0,146,6.12487716680811,0,37.9649880753139
102,2,41,0,136,6.80745620154924,0,29.9650647406244
99,2,47,0,175,6.80294461955408,0,33.9589702779449
140,2,101,0,186,5.36580956643175,0,31.687597467963
146,2,52,0,185,10.4287688738076,1,31.4431763219611
142,2,104,0,180,12.3261873599181,1,32.4844990647419
138,2,122,0,180,10.5424716185973,1,40.7872466878633
91,3,7,0,192,8.7138336905202,0,38.4698432820066
88,3,40,0,180,6.97861676282408,0,29.8955497774521
109,3,93,0,181,6.00776618424241,0,34.6210808108939
141,3,101,0,181,1.41657939547432,0,36.5027986712886
119,3,17,0,146,9.5436535566183,1,43.2465729909746
97,3,44,0,156,9.64102851148142,1,31.8367070484258
121,4,29,0,165,6.09950300431371,0,36.5601628985342
94,4,34,0,199,6.69469497432615,0,34.5183168300167
127,4,34,0,188,7.30025809731334,0,31.1646381542728
115,4,62,0,140,7.32348989192677,0,31.8233586451787
136,4,73,0,184,5.09848564271797,0,26.2193691032804
93,4,87,0,187,6.21632928800095,0,35.9255805745924
100,4,106,0,158,5.64390655481614,0,42.128294245197
124,4,107,0,117,8.18943939068926,0,30.0584635583315
89,4,41,0,186,10.1518692946181,1,38.5400088630905
130,4,102,0,191,10.759346976017,1,44.3446449041027
85,4,107,0,152,9.97644981002528,1,39.2120831394824
95,5,15,0,143,7.64230738798371,0,29.3624220353931
108,5,21,0,127,1.42369310707955,0,29.529212302125
103,5,48,0,166,0.521539833081638,0,34.4657454999411
150,6,24,0,190,4.93758094963876,0,36.0372346697282
125,6,27,0,161,8.81537258342743,0,33.4277285620592
84,6,39,0,174,7.20607610522203,0,38.5005192607185
86,6,67,0,209,8.19285736270121,0,26.9543311225308
90,6,41,0,149,9.47240647084829,1,36.9300557655882
