"school_id","district","zone","treatment","standard3","distanceM","remoteness","student_teacher_ratio"
173,1,117,0,181,5.58785714887348,0,44.3313833476443
662,1,83,0,209,10.9782088340677,1,39.5977323969519
363,1,117,0,204,9.74953876285034,1,37.8567020228403
497,1,117,0,159,10.7319560774789,1,40.0550875663613
720,2,120,0,168,7.06801431511941,0,41.7211971224997
254,2,25,0,112,12.0053333612077,1,43.8853904229876
249,2,60,0,176,12.7919474200335,1,28.2744332129745
364,2,60,0,148,14.5219255689714,1,35.9217863309513
590,2,60,0,146,12.9279045829212,1,39.196854155583
671,2,60,0,155,16.5169835176102,1,28.5062422115485
784,2,60,0,182,17.4293679273631,1,38.877723440274
456,3,55,0,165,7.3450051883959,0,45.1080188675474
221,3,65,0,175,5.41919753282036,0,39.1187011523011
654,3,65,0,183,5.46895018472444,0,44.7217778456528
703,3,90,0,161,8.34189701817768,0,37.7691464831639
673,3,16,0,182,9.78433684982367,1,19.0405893885223
553,3,65,0,188,10.8142884919742,1,40.5336083492521
832,5,33,0,136,7.51912294442822,0,48.1376759938444
434,5,58,0,166,7.34345526690044,0,47.454296443053
346,5,97,0,159,8.59683227512829,0,45.7116754932741
600,5,97,0,143,6.50761881895453,0,42.6968913889654
467,5,33,0,161,16.1089363722489,1,40.7231530983517
858,5,33,0,166,12.6346812023253,1,37.9978833747
441,5,36,0,151,9.48057798872718,1,42.0674252237967
476,5,42,0,104,10.4816506410582,1,41.8072581099553
670,5,42,0,172,12.6422023558844,1,17.9693559554375
430,5,97,0,174,12.523577981717,1,37.6834556063614
852,5,119,0,175,12.848713674822,1,40.6613600657782
195,5,125,0,173,16.8736337381865,1,37.9116361583164
629,6,69,0,158,8.18765415182729,0,36.5482726009313
626,6,82,0,155,15.762877276592,1,40.6804146412803
310,6,85,0,175,12.7560952668417,1,38.3094061809385
721,6,85,0,199,13.774609729361,1,35.0973726767825
800,6,85,0,125,10.0640148643418,1,43.3023779626077
634,6,111,0,159,11.1705915398649,1,41.4950009294458
820,6,111,0,138,17.3131420752463,1,42.7952090148347
251,6,114,0,176,17.2156866302995,1,32.2941140324884
