"school_id","district","zone","treatment","standard3","distanceM","remoteness","student_teacher_ratio"
96,1,15,0,199,7.136888893902,0,34.3601134287213
107,1,21,0,138,3.63756588101918,0,39.9749378412015
116,1,81,0,201,7.90951087737649,0,38.802211434146
135,1,96,0,174,8.22842090164253,0,44.4754954437936
132,1,118,0,148,9.00671329862871,0,42.9531928529158
145,1,56,0,140,9.37945861303133,1,45.5137370775146
149,2,24,0,190,2.16406109739345,0,41.1755868651552
133,2,70,0,152,4.90092796456565,0,43.0972534050195
82,2,95,0,174,6.26452259058702,0,44.3568684802028
140,2,101,0,186,5.36580956643175,0,31.687597467963
87,2,67,0,148,11.0124210303049,1,45.8634095396217
91,3,7,0,192,8.7138336905202,0,38.4698432820066
112,3,17,0,152,6.89232097761385,0,40.7700638640781
88,3,40,0,180,6.97861676282408,0,29.8955497774521
114,3,40,0,193,7.23246204138071,0,45.3765691328458
109,3,93,0,181,6.00776618424241,0,34.6210808108939
141,3,101,0,181,1.41657939547432,0,36.5027986712886
131,3,118,0,208,5.59012919658403,0,43.1241911164667
119,3,17,0,146,9.5436535566183,1,43.2465729909746
113,3,40,0,159,11.1809175537576,1,47.9827077758993
97,3,44,0,156,9.64102851148142,1,31.8367070484258
121,4,29,0,165,6.09950300431371,0,36.5601628985342
94,4,34,0,199,6.69469497432615,0,34.5183168300167
127,4,34,0,188,7.30025809731334,0,31.1646381542728
136,4,73,0,184,5.09848564271797,0,26.2193691032804
93,4,87,0,187,6.21632928800095,0,35.9255805745924
100,4,106,0,158,5.64390655481614,0,42.128294245197
124,4,107,0,117,8.18943939068926,0,30.0584635583315
130,4,102,0,191,10.759346976017,1,44.3446449041027
85,4,107,0,152,9.97644981002528,1,39.2120831394824
95,5,15,0,143,7.64230738798371,0,29.3624220353931
120,5,17,0,222,4.90076779681387,0,43.3397997176382
108,5,21,0,127,1.42369310707955,0,29.529212302125
103,5,48,0,166,0.521539833081638,0,34.4657454999411
134,5,96,0,187,5.66012101073914,0,43.9007202246526
150,6,24,0,190,4.93758094963876,0,36.0372346697282
86,6,67,0,209,8.19285736270121,0,26.9543311225308
